key,sample,location,location_code,state,state_code,location_macro,location_macro_code,beach_or_area,area_type,coord_lat,coord_lon,status,age_class,sex,previous_assignment,carapace_length_metres,carapace_width_metres,weight_kg,collection_date,library,extracted_from,source,obs,method,rg_id,rg_pl,rg_pm
108,AB17F1,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc_ei,,,,,Good2,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
109,AB17F3,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc_ei,,,,,Good2,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
110,AB17F4,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc_ei,,,,,Good2,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
111,AB18F2,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc,,,,,Good2,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
112,AB18F3,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc,,,,,Good1,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
113,AB18F4,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,dead,hatchling,,cc,,,,,Good2,tissue,arantes_unpublished,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
114,AB54815,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,pelagic,juvenile,,ei,,,,,Good2,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
115,AB69009,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,pelagic,juvenile,,ei,,,,,Bad1,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
116,AB69099,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,pelagic,juvenile,,ei,,,,,Bad1,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
117,AB69099,Abrolhos,ABR,Bahia,BA,Brazil,BR,Abrolhos,nesting_feeding,,,pelagic,juvenile,,ei,,,,,Bad3,tissue,arantes_2020,"cc nesting, ei and cm feeding",3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
118,BA8F2,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2017-12-21T00:00:00-03:00,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
119,BA8F3,Praia do Forte,PDF,Bahia,BA,Brazil,BR,Praia do Forte,nesting,,,,hatchling,,putative_hybrid,,,,2017-12-21T00:00:00-03:00,Good1,tissue,arantes_unpublished,,3RAD,K00302.86.H2CTHBBXX.8,ILLUMINA,HiSeq 4000
